iter	Passed	Remaining
0	8	4112
1	12	3142
2	16	2801
3	21	2625
4	25	2512
5	29	2426
6	33	2372
7	37	2326
8	41	2266
9	45	2216
10	49	2195
11	53	2166
12	57	2138
13	60	2114
14	64	2084
15	68	2081
16	72	2053
17	75	2032
18	80	2040
19	84	2024
20	87	2000
21	92	2015
22	96	1996
23	99	1982
24	103	1974
25	107	1957
26	110	1938
27	114	1929
28	118	1931
29	122	1915
30	125	1902
31	129	1888
32	132	1875
33	135	1859
34	139	1848
35	142	1835
36	145	1822
37	149	1814
38	152	1802
39	156	1800
40	159	1790
41	163	1780
42	167	1778
43	170	1771
44	174	1764
45	177	1756
46	181	1747
47	184	1738
48	187	1728
49	191	1723
50	195	1722
51	199	1719
52	203	1720
53	207	1713
54	210	1704
55	214	1696
56	217	1687
57	221	1688
58	228	1704
59	232	1704
60	236	1701
61	240	1698
62	243	1692
63	246	1681
64	249	1671
65	252	1661
66	256	1658
67	259	1649
68	262	1639
69	265	1630
70	268	1620
71	274	1629
72	277	1625
73	280	1616
74	284	1612
75	288	1608
76	293	1611
77	297	1608
78	300	1601
79	304	1597
80	309	1600
81	311	1588
82	313	1577
83	316	1565
84	320	1563
85	325	1569
86	330	1569
87	334	1566
88	337	1560
89	340	1549
90	342	1538
91	344	1527
92	346	1516
93	349	1511
94	352	1502
95	356	1498
96	358	1488
97	360	1478
98	362	1468
99	364	1458
100	366	1448
101	369	1441
102	371	1432
103	373	1423
104	376	1414
105	378	1405
106	380	1396
107	382	1387
108	384	1379
109	387	1373
110	389	1364
111	391	1356
112	393	1348
113	395	1340
114	397	1332
115	400	1324
116	402	1317
117	404	1309
118	406	1302
119	408	1294
120	410	1287
121	413	1282
122	416	1275
123	420	1275
124	422	1268
125	424	1261
126	427	1254
127	429	1247
128	431	1240
129	434	1235
130	436	1229
131	438	1222
132	440	1215
133	442	1209
134	444	1202
135	446	1196
136	449	1189
137	451	1183
138	455	1182
139	457	1176
140	459	1170
141	461	1164
142	463	1158
143	466	1154
144	470	1151
145	472	1145
146	474	1140
147	476	1134
148	479	1129
149	482	1125
150	484	1120
151	486	1114
152	488	1109
153	491	1103
154	493	1097
155	495	1092
156	497	1087
157	501	1084
158	503	1079
159	505	1074
160	507	1068
161	509	1063
162	512	1058
163	514	1054
164	517	1049
165	519	1044
166	521	1039
167	523	1034
168	526	1030
169	528	1025
170	532	1023
171	534	1018
172	536	1014
173	538	1009
174	541	1004
175	543	1001
176	546	998
177	548	992
178	550	987
179	552	982
180	554	977
181	556	972
182	558	968
183	561	963
184	563	959
185	565	955
186	568	950
187	570	946
188	572	941
189	575	939
190	579	937
191	581	932
192	583	928
193	585	923
194	587	919
195	589	915
196	592	910
197	594	906
198	597	903
199	599	899
200	601	894
201	603	890
202	605	886
203	607	882
204	610	877
205	612	874
206	614	870
207	617	866
208	620	863
209	622	859
210	624	855
211	626	851
212	628	847
213	630	843
214	633	839
215	635	835
216	637	831
217	639	827
218	641	823
219	643	819
220	645	815
221	647	811
222	649	807
223	652	803
224	654	799
225	656	795
226	658	792
227	660	788
228	662	784
229	664	780
230	667	777
231	669	773
232	671	769
233	674	766
234	676	762
235	678	758
236	680	755
237	682	751
238	684	747
239	686	744
240	689	740
241	691	736
242	693	733
243	695	729
244	697	726
245	699	722
246	701	718
247	703	715
248	706	711
249	708	708
250	710	704
251	712	700
252	714	697
253	716	693
254	718	690
255	720	687
256	722	683
257	725	680
258	727	676
259	729	673
260	731	669
261	733	666
262	736	663
263	738	659
264	740	656
265	742	653
266	744	649
267	746	646
268	749	643
269	751	640
270	753	636
271	755	633
272	758	630
273	760	626
274	762	623
275	764	620
276	766	617
277	768	613
278	770	610
279	772	607
280	774	603
281	776	600
282	779	597
283	781	594
284	783	591
285	785	587
286	787	584
287	789	581
288	792	578
289	794	575
290	796	571
291	798	568
292	800	565
293	802	562
294	804	559
295	806	555
296	808	552
297	810	549
298	812	546
299	815	543
300	817	540
301	819	537
302	821	534
303	823	531
304	825	527
305	827	524
306	829	521
307	832	518
308	834	515
309	836	512
310	838	509
311	840	506
312	842	503
313	844	500
314	846	497
315	848	494
316	850	491
317	853	488
318	855	485
319	857	482
320	859	479
321	861	476
322	863	473
323	865	470
324	867	467
325	869	464
326	871	461
327	874	458
328	876	455
329	878	452
330	880	449
331	882	446
332	884	443
333	886	440
334	889	437
335	891	434
336	893	432
337	895	429
338	897	426
339	899	423
340	901	420
341	903	417
342	906	414
343	908	411
344	910	408
345	912	406
346	914	403
347	916	400
348	918	397
349	920	394
350	923	391
351	925	388
352	927	386
353	929	383
354	931	380
355	933	377
356	935	374
357	938	372
358	940	369
359	942	366
360	944	363
361	946	360
362	948	358
363	950	355
364	953	352
365	955	349
366	957	346
367	959	344
368	961	341
369	963	338
370	965	335
371	967	332
372	969	330
373	972	327
374	974	324
375	976	321
376	978	319
377	980	316
378	983	313
379	985	311
380	987	308
381	989	305
382	991	302
383	993	300
384	997	297
385	999	295
386	1001	292
387	1003	289
388	1006	287
389	1008	284
390	1010	281
391	1012	278
392	1014	276
393	1016	273
394	1018	270
395	1020	268
396	1023	265
397	1025	262
398	1027	260
399	1029	257
400	1031	254
401	1033	251
402	1035	249
403	1037	246
404	1039	243
405	1042	241
406	1044	238
407	1046	235
408	1048	233
409	1050	230
410	1052	227
411	1054	225
412	1056	222
413	1058	219
414	1060	217
415	1062	214
416	1064	211
417	1066	209
418	1069	206
419	1071	204
420	1073	201
421	1075	198
422	1077	196
423	1079	193
424	1081	190
425	1083	188
426	1085	185
427	1087	183
428	1090	180
429	1092	177
430	1094	175
431	1096	172
432	1098	169
433	1100	167
434	1102	164
435	1105	162
436	1107	159
437	1109	157
438	1111	154
439	1113	151
440	1115	149
441	1117	146
442	1120	144
443	1122	141
444	1124	138
445	1126	136
446	1128	133
447	1130	131
448	1132	128
449	1135	126
450	1137	123
451	1139	120
452	1141	118
453	1143	115
454	1145	113
455	1147	110
456	1149	108
457	1151	105
458	1153	103
459	1156	100
460	1158	97
461	1160	95
462	1162	92
463	1164	90
464	1166	87
465	1168	85
466	1170	82
467	1173	80
468	1175	77
469	1177	75
470	1179	72
471	1181	70
472	1183	67
473	1185	65
474	1187	62
475	1190	60
476	1192	57
477	1194	54
478	1196	52
479	1198	49
480	1200	47
481	1202	44
482	1204	42
483	1207	39
484	1209	37
485	1211	34
486	1214	32
487	1216	29
488	1218	27
489	1220	24
490	1222	22
491	1224	19
492	1226	17
493	1228	14
494	1231	12
495	1233	9
496	1235	7
497	1237	4
498	1239	2
499	1242	0
