iter	MultiClass
0	1.018618225
1	0.9580674005
2	0.9095809537
3	0.8679146134
4	0.8332206682
5	0.8026832053
6	0.7692458404
7	0.746987206
8	0.728630895
9	0.7066096213
10	0.6873836604
11	0.6680642335
12	0.6517401977
13	0.640835363
14	0.6260015685
15	0.6128861567
16	0.5983888443
17	0.5881581237
18	0.5787072388
19	0.5690126237
20	0.562081136
21	0.5511737252
22	0.5424338129
23	0.5355465841
24	0.5304037677
25	0.5203126815
26	0.5121317544
27	0.5030489641
28	0.4940321582
29	0.4871721112
30	0.4791395571
31	0.4729320414
32	0.4669067164
33	0.463764994
34	0.4577203233
35	0.4541406037
36	0.4488565887
37	0.4428053293
38	0.4395386577
39	0.4337655671
40	0.4286873266
41	0.4263159952
42	0.422531644
43	0.4182158835
44	0.415060228
45	0.410650524
46	0.4091512813
47	0.4034120016
48	0.3988161319
49	0.3954577243
50	0.3920858378
51	0.3906336423
52	0.3854041552
53	0.3789569354
54	0.3738955537
55	0.3692476589
56	0.3665394328
57	0.3636365471
58	0.36044683
59	0.3571125989
60	0.3524053077
61	0.3495387097
62	0.3455495902
63	0.3433510508
64	0.3408343936
65	0.3386075398
66	0.3348896185
67	0.3333140914
68	0.3298896887
69	0.3256991233
70	0.3224141389
71	0.3203830213
72	0.3170134263
73	0.3151665033
74	0.3137521247
75	0.3107361694
76	0.3077396882
77	0.3047368162
78	0.3021500546
79	0.2996646259
80	0.2977544905
81	0.295677189
82	0.2935627829
83	0.2912550097
84	0.2894827919
85	0.2881367404
86	0.2866628599
87	0.2842671788
88	0.2814361671
89	0.2789383454
90	0.2767991631
91	0.2759354967
92	0.2746655281
93	0.2738448507
94	0.2708548488
95	0.2680416029
96	0.2656308295
97	0.263296647
98	0.2614302206
99	0.2598692692
100	0.2586723611
101	0.2576979898
102	0.2558711932
103	0.2537506907
104	0.2527490904
105	0.2509805731
106	0.2497496927
107	0.2480055685
108	0.2469522727
109	0.2455303608
110	0.2444013199
111	0.243492667
112	0.2425085074
113	0.240888947
114	0.239477933
115	0.2385564376
116	0.2365022726
117	0.2353421302
118	0.2332438647
119	0.2316185667
120	0.2290452276
121	0.2276156522
122	0.2263675544
123	0.2255330715
124	0.2246841527
125	0.223342912
126	0.2220196218
127	0.2210978233
128	0.2193944027
129	0.217994908
130	0.2174789586
131	0.2165084027
132	0.2152366269
133	0.2140418202
134	0.2129377455
135	0.212231088
136	0.2117155477
137	0.2111261525
138	0.2101084431
139	0.2087466765
140	0.2078848374
141	0.206751444
142	0.2055222126
143	0.2038953821
144	0.2029515794
145	0.2019488159
146	0.2012165333
147	0.2001733864
148	0.1995422065
149	0.1983978912
150	0.1972957087
151	0.196573324
152	0.1957040363
153	0.1950886168
154	0.1940034504
155	0.1936056908
156	0.1926937803
157	0.1915120107
158	0.1907803676
159	0.1900488486
160	0.1891724548
161	0.1887373478
162	0.1874767276
163	0.1862646392
164	0.1846599309
165	0.1838487095
166	0.1832474598
167	0.1816012438
168	0.1807999522
169	0.1803348506
170	0.1792516155
171	0.1783007294
172	0.1773793892
173	0.1764898107
174	0.1752088071
175	0.1743152862
176	0.173176453
177	0.1724970838
178	0.1713675512
179	0.170796337
180	0.1699774068
181	0.169255863
182	0.1684930347
183	0.1673409711
184	0.1667580791
185	0.1664572932
186	0.1658227805
187	0.1649707245
188	0.1639046732
189	0.1635925354
190	0.1630196383
191	0.1623097791
192	0.1615552854
193	0.1607175319
194	0.1597661851
195	0.1591544591
196	0.1583251817
197	0.1577791241
198	0.1568773046
199	0.1564764777
200	0.155859367
201	0.1552399132
202	0.1546943218
203	0.1540599345
204	0.1528555021
205	0.1521320445
206	0.1517525139
207	0.151456271
208	0.1507115007
209	0.1498985682
210	0.1494264332
211	0.1486928265
212	0.1482301913
213	0.1478956695
214	0.1476157134
215	0.1469718206
216	0.1466719448
217	0.1462552969
218	0.145946289
219	0.145492081
220	0.1450421415
221	0.1446079906
222	0.143926966
223	0.1436292411
224	0.1434080074
225	0.1429780854
226	0.142314659
227	0.142057851
228	0.1417707877
229	0.1414206883
230	0.1411562548
231	0.1406184437
232	0.1400340807
233	0.1389044065
234	0.1382462746
235	0.1377630257
236	0.1373041474
237	0.1369170223
238	0.1365897462
239	0.1362210196
240	0.1357723341
241	0.1353130865
242	0.1345545407
243	0.134007541
244	0.1334218055
245	0.1330680739
246	0.1326769601
247	0.1319839345
248	0.1316270864
